CABra ID  	 697
ANA ID    	 60477400
Longitude 	 -47.879   	 dd
Latitude  	 -15.713   	 dd
Area      	 233.39    	 km²
Elevation 	 1166.24   	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1981	     9	    23	      0.578	          1
 1981	     9	    24	      0.981	          1
 1981	     9	    25	      0.615	          1
 1981	     9	    26	      1.317	          1
 1981	     9	    27	      1.055	          1
 1981	     9	    28	      1.130	          1
 1981	     9	    29	      0.934	          1
 1981	     9	    30	      1.130	          1
 1981	    10	     1	      1.928	          1
 1981	    10	     2	      1.733	          1
 1981	    10	     3	      3.526	          1
 1981	    10	     4	      2.792	          1
 1981	    10	     5	      1.430	          1
 1981	    10	     6	      1.459	          1
 1981	    10	     7	      2.792	          1
 1981	    10	     8	      1.639	          1
 1981	    10	     9	      4.996	          1
 1981	    10	    10	      1.961	          1
 1981	    10	    11	      6.908	          1
 1981	    10	    12	      5.354	          1
 1981	    10	    13	      3.258	          1
 1981	    10	    14	      4.472	          1
 1981	    10	    15	      2.491	          1
 1981	    10	    16	      5.115	          1
 1981	    10	    17	      5.174	          1
 1981	    10	    18	      3.743	          1
 1981	    10	    19	      5.414	          1
 1981	    10	    20	      7.231	          1
 1981	    10	    21	      3.526	          1
 1981	    10	    22	      2.997	          1
 1981	    10	    23	      3.743	          1
 1981	    10	    24	      2.741	          1
 1981	    10	    25	      3.798	          1
 1981	    10	    26	      3.853	          1
 1981	    10	    27	      2.945	          1
 1981	    10	    28	      2.691	          1
 1981	    10	    29	      3.798	          1
 1981	    10	    30	      4.132	          1
 1981	    10	    31	      8.088	          1
 1981	    11	     1	      8.289	          1
 1981	    11	     2	     18.480	          1
 1981	    11	     3	      9.037	          1
 1981	    11	     4	      3.311	          1
 1981	    11	     5	     11.670	          1
 1981	    11	     6	      5.056	          1
 1981	    11	     7	      7.361	          1
 1981	    11	     8	      5.963	          1
 1981	    11	     9	      5.596	          1
 1981	    11	    10	      5.656	          1
 1981	    11	    11	      6.400	          1
 1981	    11	    12	      6.087	          1
 1981	    11	    13	      3.964	          1
 1981	    11	    14	      8.289	          1
 1981	    11	    15	     14.702	          1
 1981	    11	    16	      7.102	          1
 1981	    11	    17	      8.968	          1
 1981	    11	    18	      6.025	          1
 1981	    11	    19	      3.365	          1
 1981	    11	    20	      5.840	          1
