CABra ID  	 735
ANA ID    	 87400000
Longitude 	 -51.068   	 dd
Latitude  	 -29.963   	 dd
Area      	 1664.71   	 km²
Elevation 	 55.72     	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1982	     2	    21	      4.301	          1
 1982	     2	    22	      4.001	          1
 1982	     2	    23	      5.152	          1
 1982	     2	    24	      5.264	          1
 1982	     2	    25	      5.042	          1
 1982	     2	    26	      4.717	          1
 1982	     2	    27	      4.100	          1
 1982	     2	    28	      3.903	          1
 1982	     3	     1	      4.001	          1
 1982	     3	     2	      4.403	          1
 1982	     3	     3	      4.403	          1
 1982	     3	     4	      3.903	          1
 1982	     3	     5	      3.903	          1
 1982	     3	     6	      3.712	          1
 1982	     3	     7	      3.525	          1
 1982	     3	     8	      3.343	          1
 1982	     3	     9	      3.078	          1
 1982	     3	    10	      2.662	          1
 1982	     3	    11	      2.662	          1
 1982	     3	    12	      2.993	          1
 1982	     3	    13	      3.433	          1
 1982	     3	    14	      3.165	          1
 1982	     3	    15	      2.825	          1
 1982	     3	    16	      3.165	          1
 1982	     3	    17	      3.618	          1
 1982	     3	    18	      3.712	          1
 1982	     3	    19	      3.807	          1
 1982	     3	    20	      3.807	          1
 1982	     3	    21	      3.712	          1
 1982	     3	    22	      3.903	          1
 1982	     3	    23	      3.078	          1
 1982	     3	    24	      2.503	          1
 1982	     3	    25	      2.275	          1
 1982	     3	    26	      2.662	          1
 1982	     3	    27	      2.503	          1
 1982	     3	    28	      3.343	          1
 1982	     3	    29	      2.993	          1
 1982	     3	    30	      2.993	          1
 1982	     3	    31	      2.908	          1
 1982	     4	     1	      3.165	          1
 1982	     4	     2	      2.993	          1
 1982	     4	     3	      2.743	          1
 1982	     4	     4	      2.582	          1
 1982	     4	     5	      2.275	          1
 1982	     4	     6	      2.201	          1
 1982	     4	     7	      2.582	          1
 1982	     4	     8	      2.743	          1
 1982	     4	     9	      2.582	          1
 1982	     4	    10	      2.350	          1
 1982	     4	    11	      2.350	          1
 1982	     4	    12	      2.350	          1
 1982	     4	    13	      2.275	          1
 1982	     4	    14	      2.426	          1
 1982	     4	    15	      3.165	          1
 1982	     4	    16	      4.100	          1
 1982	     4	    17	      3.433	          1
 1982	     4	    18	      2.993	          1
 1982	     4	    19	      2.582	          1
 1982	     4	    20	      2.426	          1
 1982	     4	    21	      2.350	          1
 1982	     4	    22	      2.825	          1
 1982	     4	    23	      2.825	          1
 1982	     4	    24	      2.743	          1
 1982	     4	    25	      2.426	          1
 1982	     4	    26	      2.743	          1
 1982	     4	    27	      2.908	          1
 1982	     4	    28	      2.582	          1
 1982	     4	    29	      2.426	          1
 1982	     4	    30	      2.426	          1
 1982	     5	     1	      2.350	          1
 1982	     5	     2	      2.201	          1
 1982	     5	     3	      2.993	          1
 1982	     5	     4	      2.503	          1
 1982	     5	     5	      2.201	          1
 1982	     5	     6	      2.582	          1
 1982	     5	     7	      2.908	          1
 1982	     5	     8	      2.275	          1
 1982	     5	     9	      2.350	          1
 1982	     5	    10	      2.275	          1
 1982	     5	    11	      2.426	          1
 1982	     5	    12	      2.350	          1
 1982	     5	    13	      2.350	          1
 1982	     5	    14	      2.662	          1
 1982	     5	    15	      3.165	          1
 1982	     5	    16	      2.908	          1
 1982	     5	    17	      2.662	          1
 1982	     5	    18	      3.165	          1
 1982	     5	    19	      4.200	          1
 1982	     5	    20	      4.200	          1
 1982	     5	    21	      4.200	          1
 1982	     5	    22	      4.301	          1
 1982	     5	    23	      4.200	          1
 1982	     5	    24	      4.932	          1
 1982	     5	    25	      4.932	          1
 1982	     5	    26	      4.717	          1
 1982	     5	    27	      4.611	          1
 1982	     5	    28	      4.301	          1
 1982	     5	    29	      4.301	          1
 1982	     5	    30	      3.807	          1
 1982	     5	    31	      3.525	          1
 1982	     6	     1	      4.001	          1
 1982	     6	     2	      4.200	          1
 1982	     6	     3	      3.525	          1
 1982	     6	     4	      4.001	          1
 1982	     6	     5	      4.200	          1
 1982	     6	     6	      4.001	          1
 1982	     6	     7	      4.301	          1
 1982	     6	     8	      3.618	          1
 1982	     6	     9	      3.525	          1
 1982	     6	    10	      3.078	          1
 1982	     6	    11	      3.253	          1
 1982	     6	    12	      3.165	          1
 1982	     6	    13	      4.200	          1
 1982	     6	    14	      4.611	          1
 1982	     6	    15	     33.978	          1
 1982	     6	    16	     37.743	          1
 1982	     6	    17	     39.892	          1
 1982	     6	    18	     40.762	          1
 1982	     6	    19	     42.079	          1
 1982	     6	    20	     43.634	          1
 1982	     6	    21	     46.680	          1
 1982	     6	    22	     51.176	          1
 1982	     6	    23	     55.340	          1
 1982	     6	    24	     58.448	          1
 1982	     6	    25	     57.818	          1
 1982	     6	    26	     48.894	          1
 1982	     6	    27	     46.137	          1
 1982	     6	    28	     74.250	          1
 1982	     6	    29	    163.127	          1
 1982	     6	    30	    182.683	          1
 1982	     7	     1	    186.773	          1
 1982	     7	     2	    177.323	          1
 1982	     7	     3	    168.198	          1
 1982	     7	     4	    158.159	          1
 1982	     7	     5	    147.352	          1
 1982	     7	     6	    146.183	          1
 1982	     7	     7	    146.183	          1
 1982	     7	     8	    132.628	          1
 1982	     7	     9	    118.920	          1
 1982	     7	    10	    111.946	          1
 1982	     7	    11	    102.464	          1
 1982	     7	    12	     95.276	          1
 1982	     7	    13	     89.270	          1
 1982	     7	    14	     82.721	          1
 1982	     7	    15	     78.795	          1
 1982	     7	    16	     72.775	          1
 1982	     7	    17	     70.599	          1
 1982	     7	    18	     65.692	          1
 1982	     7	    19	     57.818	          1
 1982	     7	    20	     52.934	          1
 1982	     7	    21	     49.458	          1
 1982	     7	    22	     55.340	          1
 1982	     7	    23	     59.723	          1
 1982	     7	    24	     62.992	          1
 1982	     7	    25	     67.766	          1
 1982	     7	    26	     72.775	          1
 1982	     7	    27	     74.995	          1
 1982	     7	    28	     78.025	          1
 1982	     7	    29	     81.925	          1
 1982	     7	    30	     73.510	          1
 1982	     7	    31	     65.692	          1
 1982	     8	     1	     57.818	          1
 1982	     8	     2	     54.732	          1
 1982	     8	     3	     51.758	          1
 1982	     8	     4	     46.137	          1
 1982	     8	     5	     42.300	          1
 1982	     8	     6	     45.659	          1
 1982	     8	     7	     51.758	          1
 1982	     8	     8	     59.084	          1
 1982	     8	     9	     63.660	          1
 1982	     8	    10	     78.795	          1
 1982	     8	    11	     85.138	          1
 1982	     8	    12	     89.270	          1
 1982	     8	    13	     86.775	          1
 1982	     8	    14	     82.721	          1
 1982	     8	    15	     81.925	          1
 1982	     8	    16	     78.795	          1
 1982	     8	    17	     76.500	          1
 1982	     8	    18	     73.510	          1
 1982	     8	    19	     71.319	          1
 1982	     8	    20	     70.599	          1
 1982	     8	    21	     59.084	          1
 1982	     8	    22	     48.894	          1
 1982	     8	    23	     47.227	          1
 1982	     8	    24	     43.634	          1
 1982	     8	    25	     40.762	          1
 1982	     8	    26	     38.170	          1
 1982	     8	    27	     33.568	          1
 1982	     8	    28	     31.542	          1
 1982	     8	    29	     29.952	          1
 1982	     8	    30	     30.149	          1
 1982	     8	    31	     35.635	          1
 1982	     9	     1	     37.319	          1
 1982	     9	     2	     37.319	          1
 1982	     9	     3	     37.743	          1
 1982	     9	     4	     36.263	          1
 1982	     9	     5	     34.803	          1
 1982	     9	     6	     33.159	          1
 1982	     9	     7	     31.542	          1
 1982	     9	     8	     28.196	          1
 1982	     9	     9	     25.349	          1
 1982	     9	    10	     22.426	          1
 1982	     9	    11	     20.314	          1
 1982	     9	    12	     18.808	          1
 1982	     9	    13	     16.767	          1
 1982	     9	    14	     16.373	          1
 1982	     9	    15	     18.390	          1
 1982	     9	    16	     19.968	          1
 1982	     9	    17	     21.010	          1
 1982	     9	    18	     26.098	          1
 1982	     9	    19	     34.596	          1
 1982	     9	    20	     40.326	          1
 1982	     9	    21	     44.981	          1
 1982	     9	    22	     47.227	          1
 1982	     9	    23	     47.227	          1
 1982	     9	    24	     44.981	          1
 1982	     9	    25	     44.081	          1
 1982	     9	    26	     43.857	          1
 1982	     9	    27	     56.570	          1
 1982	     9	    28	     69.173	          1
 1982	     9	    29	     86.775	          1
 1982	     9	    30	    106.190	          1
 1982	    10	     1	    110.005	          1
 1982	    10	     2	    106.190	          1
 1982	    10	     3	    103.387	          1
 1982	    10	     4	     92.670	          1
 1982	    10	     5	     86.775	          1
 1982	    10	     6	     82.721	          1
