CABra ID  	 33
ANA ID    	 16700000
Longitude 	 -55.958   	 dd
Latitude  	 2.226     	 dd
Area      	 818.09    	 km²
Elevation 	 434.17    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1981	     8	    31	     24.230	          2
 1981	     9	     1	     24.028	          2
 1981	     9	     2	     18.753	          2
 1981	     9	     3	     15.642	          2
 1981	     9	     4	     17.085	          2
 1981	     9	     5	     17.452	          2
 1981	     9	     6	     19.130	          2
 1981	     9	     7	     22.622	          2
 1981	     9	     8	     22.424	          2
 1981	     9	     9	     21.831	          2
 1981	     9	    10	     19.319	          2
 1981	     9	    11	     14.761	          2
 1981	     9	    12	      9.813	          2
 1981	     9	    13	      9.200	          2
 1981	     9	    14	      9.658	          2
 1981	     9	    15	      9.049	          2
 1981	     9	    16	      9.505	          2
 1981	     9	    17	     10.279	          2
 1981	     9	    18	     10.753	          2
 1981	     9	    19	     11.394	          2
 1981	     9	    20	     11.394	          2
 1981	     9	    21	     11.719	          2
 1981	     9	    22	     11.719	          2
 1981	     9	    23	     11.233	          2
 1981	     9	    24	      8.749	          2
 1981	     9	    25	      6.463	          2
 1981	     9	    26	      7.438	          2
 1981	     9	    27	      6.059	          2
 1981	     9	    28	      5.274	          2
 1981	     9	    29	      5.402	          2
 1981	     9	    30	      4.280	          2
 1981	    10	     1	      7.724	          2
 1981	    10	     2	     13.044	          2
 1981	    10	     3	     14.936	          2
 1981	    10	     4	      9.813	          2
 1981	    10	     5	      6.193	          2
 1981	    10	     6	      5.926	          2
 1981	    10	     7	      5.662	          2
 1981	    10	     8	      5.274	          2
 1981	    10	     9	      4.894	          2
 1981	    10	    10	      4.401	          2
 1981	    10	    11	      4.160	          2
 1981	    10	    12	      4.401	          2
 1981	    10	    13	      5.532	          2
 1981	    10	    14	      5.926	          2
 1981	    10	    15	      5.532	          2
 1981	    10	    16	      4.894	          2
 1981	    10	    17	      4.160	          2
 1981	    10	    18	      3.577	          2
 1981	    10	    19	      3.352	          2
 1981	    10	    20	      3.130	          2
 1981	    10	    21	      3.022	          2
 1981	    10	    22	      2.807	          2
 1981	    10	    23	      2.807	          2
 1981	    10	    24	      2.598	          2
 1981	    10	    25	      2.495	          2
 1981	    10	    26	      2.598	          2
 1981	    10	    27	      2.914	          2
 1981	    10	    28	      3.240	          2
 1981	    10	    29	      3.130	          2
 1981	    10	    30	      2.807	          2
 1981	    10	    31	      2.598	          2
 1981	    11	     1	      2.495	          2
 1981	    11	     2	      2.293	          2
 1981	    11	     3	      2.001	          2
 1981	    11	     4	      1.906	          2
 1981	    11	     5	      1.832	          2
 1981	    11	     6	      1.832	          2
 1981	    11	     7	      1.691	          2
 1981	    11	     8	      1.691	          2
 1981	    11	     9	      1.691	          2
 1981	    11	    10	      1.624	          2
 1981	    11	    11	      1.558	          2
 1981	    11	    12	      1.432	          2
 1981	    11	    13	      1.432	          2
 1981	    11	    14	      1.371	          2
 1981	    11	    15	      1.312	          2
 1981	    11	    16	      1.432	          2
 1981	    11	    17	      1.761	          2
 1981	    11	    18	      2.293	          2
 1981	    11	    19	      2.394	          2
 1981	    11	    20	      2.195	          2
 1981	    11	    21	      2.001	          2
 1981	    11	    22	      1.761	          2
 1981	    11	    23	      1.691	          2
 1981	    11	    24	      1.558	          2
 1981	    11	    25	      1.432	          2
 1981	    11	    26	      1.494	          2
 1981	    11	    27	      1.691	          2
 1981	    11	    28	      1.624	          2
 1981	    11	    29	      1.312	          2
 1981	    11	    30	      1.200	          2
 1981	    12	     1	      1.255	          2
 1981	    12	     2	      1.200	          2
 1981	    12	     3	      1.255	          2
 1981	    12	     4	      1.094	          2
 1981	    12	     5	      1.146	          2
 1981	    12	     6	      1.094	          2
 1981	    12	     7	      1.044	          2
 1981	    12	     8	      1.044	          2
 1981	    12	     9	      0.995	          2
 1981	    12	    10	      0.995	          2
 1981	    12	    11	      0.995	          2
 1981	    12	    12	      0.902	          2
 1981	    12	    13	      0.857	          2
 1981	    12	    14	      0.857	          2
 1981	    12	    15	      0.857	          2
 1981	    12	    16	      0.857	          2
 1981	    12	    17	      0.902	          2
 1981	    12	    18	      0.995	          2
 1981	    12	    19	      0.995	          2
 1981	    12	    20	      1.044	          2
 1981	    12	    21	      1.146	          2
 1981	    12	    22	      1.200	          2
 1981	    12	    23	      1.371	          2
 1981	    12	    24	      1.691	          2
 1981	    12	    25	      2.495	          2
 1981	    12	    26	      2.394	          2
 1981	    12	    27	      2.195	          2
 1981	    12	    28	      3.577	          2
 1981	    12	    29	      3.130	          2
 1981	    12	    30	      2.495	          2
 1981	    12	    31	      2.394	          2
 1982	     1	     1	      4.522	          2
 1982	     1	     2	      7.296	          2
 1982	     1	     3	      8.600	          2
 1982	     1	     4	      8.452	          2
 1982	     1	     5	      5.926	          2
 1982	     1	     6	      5.402	          2
 1982	     1	     7	      6.600	          2
 1982	     1	     8	      7.438	          2
 1982	     1	     9	      6.600	          2
 1982	     1	    10	      4.769	          2
 1982	     1	    11	      6.600	          2
 1982	     1	    12	      5.532	          2
 1982	     1	    13	      6.600	          2
 1982	     1	    14	     13.895	          2
 1982	     1	    15	     10.912	          2
 1982	     1	    16	      6.738	          2
 1982	     1	    17	      4.645	          2
 1982	     1	    18	      4.769	          2
 1982	     1	    19	      8.749	          2
 1982	     1	    20	      8.158	          2
 1982	     1	    21	      6.328	          2
 1982	     1	    22	      5.274	          2
 1982	     1	    23	      4.645	          2
 1982	     1	    24	      5.662	          2
 1982	     1	    25	      7.296	          2
 1982	     1	    26	      6.328	          2
 1982	     1	    27	      8.899	          2
 1982	     1	    28	      8.158	          2
 1982	     1	    29	      6.738	          2
 1982	     1	    30	      7.438	          2
 1982	     1	    31	     10.436	          2
 1982	     2	     1	      9.658	          2
 1982	     2	     2	      9.200	          2
 1982	     2	     3	     10.279	          2
 1982	     2	     4	      9.505	          2
 1982	     2	     5	      8.013	          2
 1982	     2	     6	      7.724	          2
 1982	     2	     7	      6.738	          2
 1982	     2	     8	      7.296	          2
 1982	     2	     9	     10.279	          2
 1982	     2	    10	     14.761	          2
 1982	     2	    11	     15.288	          2
 1982	     2	    12	      9.813	          2
 1982	     2	    13	     10.436	          2
 1982	     2	    14	     10.436	          2
 1982	     2	    15	      9.658	          2
 1982	     2	    16	      8.600	          2
 1982	     2	    17	     11.394	          2
 1982	     2	    18	     12.376	          2
 1982	     2	    19	      9.967	          2
 1982	     2	    20	      8.452	          2
